 0, 615.56177,-3.2527859,-5.0874727, 1.8346868,-5.9399902,0.85251747, 9815.2637  0.023666562, 1.0188213
 1730000, 571.38465,-3.5649367,-5.2679533, 1.7030166,-6.0610671,0.79311385, 9696.8077  0.039344795, 1.0312672
 1740000, 558.62444,-3.5882204,-5.2532051, 1.6649847, -6.040918,0.78771294, 9709.3289,0.15210193, 1.0299373
 1750000, 564.76278, -3.543739,-5.2270191,1.68328,-6.0431415,0.81612243, 9690.3372  0.080971222, 1.0319558
 1760000, 560.27556,-3.6178192, -5.287725, 1.6699058,-6.0854322,0.79770714, 9620.9301,0.14308673, 1.0394005
 1770000, 560.29552,-3.6041584,-5.2741238, 1.6699653,-6.0661567,0.79203295, 9679.3484  0.099271853, 1.0331274
 1780000, 554.27498,-3.6140496,-5.2660706, 1.6520211,-6.0803659,0.81429527, 9699.4709 0.00043410496, 1.0309841
 1790000, 547.51035,-3.6476913,-5.2795503,  1.631859,-6.0780791,0.79852882, 9562.1411  0.097961941, 1.0457909
 1800000,  555.9009,-3.6222822,-5.2791493, 1.6568671,-6.0895345,0.81038519, 9627.1366  0.055488111, 1.0387305
 1810000, 552.08499,-3.6451653, -5.290659, 1.6454938,-6.0698202,0.77916115, 9700.9637  0.026060838, 1.0308254
 1820000, 563.67175,-3.5918211,-5.2718493, 1.6800282,-6.0740094,0.80216011, 9631.7428  0.033904722, 1.0382337
 1830000, 568.64033,-3.6080187,-5.3028558, 1.6948371,-6.0900368,0.78718102, 9632.8905,0.18890921,1.03811
 1840000, 552.48676,-3.5914645,-5.2381558, 1.6466913,-6.0497414, 0.8115856, 9687.0957,0.10282113, 1.0323012
 1850000, 558.46824,-3.6018022,-5.2663213, 1.6645191,-6.0650258,0.79870453, 9632.5552  0.043561676, 1.0381461
 1860000, 557.42339,-3.6423856,-5.3037905, 1.6614049, -6.086244,0.78245353, 9630.4587  0.093963261, 1.0383721
 1870000, 551.35695,  -3.63135,-5.2746739, 1.6433238,-6.0623607,0.78768689, 9675.7439,0.12971502, 1.0335123
 1880000, 561.57624,-3.6134821,-5.2872646, 1.6737825,-6.0782845,0.79101988, 9752.5352 -0.0065937512, 1.0253744
 1890000, 557.85486,-3.6409289,-5.3036198, 1.6626909, -6.091584,0.78796422, 9602.4608  0.056559754, 1.0413997
 1900000, 557.69275,-3.6235577,-5.2857655, 1.6622077,-6.0694139,0.78364847, 9623.6895,0.19107122, 1.0391025
 1910000, 548.88817,-3.6379487,-5.2739143, 1.6359656,-6.0752133,0.80129898, 9637.7457,0.11033704,  1.037587
 1920000, 549.32324, -3.650197,-5.2874594, 1.6372623,-6.0834833,0.79602395, 9621.8605,0.14831439, 1.0393
 1930000, 548.54138,-3.6129587,-5.2478907,  1.634932,-6.0314953,0.78360459,  9669.037  0.075491342, 1.0342292
 1940000, 541.43759,-3.6735399,-5.2872991, 1.6137591,-6.0633432,0.77604414,  9565.939,0.16153464, 1.0453757
 1950000, 562.70718,-3.6045793,-5.2817326, 1.6771533,-6.0636347,0.78190209, 9660.8667  0.093640069, 1.0351038
 1960000, 563.44112,-3.6160733,-5.2954141, 1.6793408, -6.086754,0.79133993, 9638.3422,0.10358986, 1.0375228
 1970000, 557.49823,-3.6281285,-5.2897564,  1.661628, -6.087675,0.79791856,  9579.046  0.056074717, 1.0439453
 1980000, 552.92105,-3.6655511,-5.3135367, 1.6479857,  -6.11606,0.80252327, 9599.5785,0.11058875, 1.0417124
 1990000, 554.77345, -3.615108,-5.2686148, 1.6535067,-6.0870036,0.81838887, 9646.2128 0.0054334081, 1.0366763
 2000000, 552.27491,-3.6553997,-5.3014596, 1.6460598,-6.1059217,0.80446214, 9600.2977,0.08169679, 1.0416344
 2010000, 558.82574,-3.6150245,-5.2806091, 1.6655846,-6.0665978,0.78598871, 9631.4465  0.081950695, 1.0382656
 2020000,  549.3377,-3.6687102,-5.3060156, 1.6373055,-6.1083562,0.80234062, 9596.2219  0.093254446, 1.0420768
 2030000, 548.52399,-3.6703786,-5.3052588, 1.6348802,-6.1174479,0.81218907, 9564.1728, 0.1064931, 1.0455687
 2040000, 551.76828,-3.6395938,-5.2841437, 1.6445498, -6.087853, 0.8037093, 9621.1101,0.07985398, 1.0393811
 2050000, 556.90587,-3.6577687,-5.3176312, 1.6598624,-6.1032916,0.78566048,  9550.335, 0.1604504, 1.0470837
 2060000, 552.92309,-3.6290782,-5.2770699, 1.6479917,-6.0854464,0.80837651, 9640.8534  0.092041429, 1.0372526
 2070000, 552.95456,-3.6464262,-5.2945117, 1.6480855,-6.0825424,0.78803064, 9636.8864  0.034396245, 1.0376796
 2080000,  554.1266,-3.6445212,-5.2961, 1.6515788,-6.0863475,0.79024747, 9633.3376  0.055721255, 1.0380618
 2090000, 553.39811,-3.6412895, -5.290697, 1.6494075,-6.0768446,0.78614757, 9634.0024,0.16591536, 1.0379902
 2100000, 546.85299,-3.6886969,-5.3185967, 1.6298998,-6.0941947,0.77559799, 9593.0996,0.12738042, 1.0424159
 2110000,  544.7811,-3.7137176,-5.3374421, 1.6237245,-6.1301544,0.79271236, 9558.7276,0.12303378, 1.0461643
 2120000, 544.51633,-3.7055051,-5.3284404, 1.6229353,-6.1215766,0.79313618, 9545.8348,0.13631923, 1.0475773
